Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,PromotionMomentum,CompensationGrowthProxy,CareerSatisfactionIndex,OrgStabilityScore,EmployeeDevelopmentScore,RetentionOpportunityIndex,LeadershipExposureScore,EngagementCompositeScore,BurnoutRiskProxy,CareerAccelerationScore,PromotionGapScore,RetentionScore,StagnationScore,GrowthPotentialScore,ManagerialInfluenceScore,CompositeRisk,RiskTier,Cluster,ClusterLabel,PCA1,PCA2
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.0,0.4444444444444444,0.0,0.7142857142857143,0.2222222222222222,1.0,2.9950024987506247,2.6666666666666665,1.5,5.300000000000001,0.24444444444444446,1.9,2.15,0.560344827586207,33.0,0.0,24.444444444444446,44.44444444444444,40.769230769230774,71.42857142857143,23.11111111111111,Low Risk,4,Career Explorers,-0.6902204284758534,-0.6687340266362791
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.5,2.5637181409295353,2.3333333333333335,3.5,11.3,0.35757575757575755,1.8,2.95,0.38275862068965516,46.0,6.666666666666667,35.75757575757576,63.63636363636363,86.92307692307692,63.63636363636363,35.39393939393939,Medium Risk,1,Promotion-Stalled,0.11969411330584406,-0.7576688187287245
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,3.0,0.0,0.125,1.0,2.087912087912088,2.6666666666666665,3.0,7.800000000000001,0.13333333333333336,1.1,3.0,0.5706896551724139,45.0,0.0,13.333333333333336,0.0,60.00000000000001,0.0,5.333333333333335,Low Risk,2,High-Risk Stagnation,-2.58268217906575,0.20479592639959365
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.0,0.1111111111111111,0.25,2.906093906093906,3.0,3.5,6.200000000000001,0.4111111111111111,1.4,3.25,0.7310344827586206,8.25,20.0,41.11111111111111,77.77777777777779,47.6923076923077,0.0,45.77777777777778,Medium Risk,0,Fast-Track Performers,1.5796141558306585,1.31692792781189
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0.6666666666666666,0.2857142857142857,1.0,0.6666666666666666,0.14285714285714285,0.3333333333333333,3.4645354645354645,2.6666666666666665,2.5,6.600000000000001,0.4380952380952381,1.5999999999999999,2.45,0.1706896551724138,12.0,13.333333333333334,43.80952380952381,28.57142857142857,50.76923076923078,66.66666666666666,30.095238095238095,Low Risk,0,Fast-Track Performers,2.147448978491667,-0.33405620272814374
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0.375,0.7777777777777778,0.25,0.75,0.1111111111111111,0.25,3.064935064935065,3.0,3.5,6.699999999999999,0.4256944444444444,1.4,3.35,0.32068965517241377,9.75,20.0,42.569444444444436,77.77777777777779,51.53846153846153,75.0,46.361111111111114,Medium Risk,0,Fast-Track Performers,2.3789475769420063,1.3095994758459004
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.0,1.5,0.0,0.07692307692307693,1.0,2.6673326673326674,2.3333333333333335,2.0,10.1,0.16666666666666666,2.3,1.7000000000000002,0.5810344827586207,80.0,0.0,16.666666666666664,0.0,77.6923076923077,0.0,6.666666666666666,Low Risk,1,Promotion-Stalled,-3.111076583676,-2.397545437638673
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.5,1.0,2.6903096903096904,3.0,3.0,10.6,0.1,1.5999999999999999,3.0,0.3982758620689655,88.0,0.0,10.0,0.0,81.53846153846153,0.0,4.0,Low Risk,2,High-Risk Stagnation,-4.212012259932365,0.25336113353061357
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.1,0.6363636363636364,0.2,0.8,0.2727272727272727,0.5,3.174275241586138,2.6666666666666665,3.0,10.2,0.32742424242424245,2.1,3.0,0.5379310344827586,42.0,6.666666666666667,32.74242424242424,63.63636363636363,78.46153846153847,80.0,34.18787878787879,Medium Risk,3,Stable Contributors,0.16650428762372804,0.007493454849699615
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0.875,0.3888888888888889,0.375,0.875,0.1111111111111111,0.125,2.6171914042978512,2.6666666666666665,2.5,7.0,0.5368055555555555,2.3,2.55,0.42931034482758623,4.875,46.666666666666664,53.68055555555556,38.88888888888889,53.84615384615385,87.5,47.138888888888886,Medium Risk,0,Fast-Track Performers,3.5734293167672377,-0.15507938493905965
